variant,condition,food_site_count,food_site_radius,seed,final_recruitment_advantage,tail_recruitment_advantage,final_directional_bias,final_receiver_attention,final_dance_propensity,final_success,final_payoff,final_floor_fraction,tail_floor_fraction,tail_dance_follow_share
pre_visit_dance,c1_r37.5m,1,37.500000,422,0.000000,0.028173,0.259843,0.378784,0.565298,0.000778,0.001000,1.000000,1.000000,0.352332
pre_visit_dance,c1_r37.5m,1,37.500000,425,-0.015873,0.010443,0.179035,0.276397,0.639907,0.001500,0.001000,1.000000,1.000000,0.228896
pre_visit_dance,c1_r37.5m,1,37.500000,424,-0.009434,0.015582,0.515735,0.235443,0.747098,0.001083,0.001000,1.000000,1.000000,0.247382
pre_visit_dance,c1_r37.5m,1,37.500000,427,0.005155,0.006332,0.394029,0.499427,0.675891,0.001833,0.001000,1.000000,1.000000,0.598428
pre_visit_dance,c1_r37.5m,1,37.500000,426,-0.006061,0.020040,0.401826,0.439733,0.444134,0.002250,0.001000,1.000000,1.000000,0.258778
pre_visit_dance,c1_r37.5m,1,37.500000,428,0.000000,0.007076,0.305790,0.546513,0.843867,0.001278,0.001000,1.000000,1.000000,0.577868
pre_visit_dance,c1_r37.5m,1,37.500000,429,0.000000,0.016598,0.563686,0.682874,0.414150,0.000972,0.001000,1.000000,1.000000,0.724740
pre_visit_dance,c1_r37.5m,1,37.500000,430,0.005175,0.021920,0.486993,0.383622,0.627816,0.001750,0.001000,1.000000,1.000000,0.405276
pre_visit_dance,c1_r37.5m,1,37.500000,431,0.017339,0.010776,0.281669,0.275042,0.713373,0.002278,0.001000,1.000000,1.000000,0.422848
pre_visit_dance,c1_r37.5m,1,37.500000,432,0.070290,0.034575,0.712687,0.202241,0.349188,0.001000,0.001000,1.000000,1.000000,0.186661
pre_visit_dance,c1_r37.5m,1,37.500000,433,0.019231,-0.003780,0.174382,0.337510,0.679389,0.000861,0.001000,1.000000,1.000000,0.236225
pre_visit_dance,c1_r37.5m,1,37.500000,435,0.000000,0.010554,0.287407,0.518707,0.639069,0.000694,0.001000,1.000000,1.000000,0.514201
pre_visit_dance,c1_r37.5m,1,37.500000,434,0.000000,0.002815,0.150202,0.299735,0.750565,0.001667,0.001000,1.000000,1.000000,0.214062
pre_visit_dance,c1_r37.5m,1,37.500000,436,0.017500,0.002099,0.388629,0.534515,0.422806,0.001056,0.001000,1.000000,1.000000,0.608222
pre_visit_dance,c1_r37.5m,1,37.500000,437,0.000000,-0.000713,0.344439,0.422662,0.536028,0.001111,0.001000,1.000000,1.000000,0.656861
pre_visit_dance,c1_r37.5m,1,37.500000,438,-0.005709,0.014408,0.252664,0.333967,0.744208,0.000944,0.001000,1.000000,1.000000,0.308126
pre_visit_dance,c1_r37.5m,1,37.500000,440,0.010989,0.001113,0.314001,0.348158,0.606526,0.001389,0.001000,1.000000,1.000000,0.426350
pre_visit_dance,c1_r37.5m,1,37.500000,441,0.002506,0.024728,0.476486,0.544797,0.472911,0.001861,0.001000,1.000000,1.000000,0.522421
pre_visit_dance,c1_r37.5m,1,37.500000,439,0.076923,0.018256,0.514481,0.458675,0.625375,0.000861,0.001000,1.000000,1.000000,0.452242
pre_visit_dance,c1_r37.5m,1,37.500000,442,0.000000,0.011425,0.416242,0.421880,0.540471,0.001028,0.001000,1.000000,1.000000,0.349635
pre_visit_dance,c1_r37.5m,1,37.500000,444,-0.002392,0.005721,0.278080,0.525393,0.718422,0.001667,0.001000,1.000000,1.000000,0.571704
pre_visit_dance,c1_r37.5m,1,37.500000,443,0.012393,0.014109,0.267668,0.407237,0.697372,0.002583,0.001000,1.000000,1.000000,0.425807
pre_visit_dance,c1_r37.5m,1,37.500000,446,0.000000,0.010476,0.385162,0.323619,0.627058,0.000972,0.001000,1.000000,1.000000,0.404269
pre_visit_dance,c1_r37.5m,1,37.500000,445,-0.016049,0.016159,0.562084,0.599187,0.660213,0.002278,0.001000,1.000000,1.000000,0.654183
pre_visit_dance,c1_r37.5m,1,37.500000,447,0.000000,0.015848,0.459446,0.340930,0.641735,0.001083,0.001000,1.000000,1.000000,0.301584
pre_visit_dance,c1_r37.5m,1,37.500000,448,0.013889,0.011637,0.296467,0.357372,0.697822,0.001000,0.001000,1.000000,1.000000,0.393133
pre_visit_dance,c1_r75m,1,75.000000,400,0.040973,0.044693,0.507406,0.461180,0.446042,0.003028,0.001000,1.000000,1.000000,0.298268
pre_visit_dance,c1_r37.5m,1,37.500000,449,0.032990,0.005245,0.804058,0.744279,0.593804,0.001778,0.001000,1.000000,1.000000,0.751998
pre_visit_dance,c1_r75m,1,75.000000,401,0.018241,0.056243,0.665700,0.186070,0.790491,0.004333,0.001000,1.000000,1.000000,0.301385
pre_visit_dance,c1_r75m,1,75.000000,402,0.056843,0.055788,0.552208,0.670471,0.699239,0.004222,0.001000,1.000000,1.000000,0.587570
