candidate,group_kind,group,runs,seeds,stable_fraction,reached_gravity_fraction,retained_vertical_fraction,collapse_fraction,mean_gravity_reach_generation,mean_vertical_reach_generation,mean_partial_tilt_generation,mean_partial_transposition_generation,mean_max_comb_tilt,mean_max_min_transposition,mean_min_success,mean_final_directional_bias,mean_final_attention,mean_final_min_transposition,mean_final_transposition_gap,mean_final_comb_tilt,mean_final_success,mean_final_payoff
trial_432,all,all,40,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",0.950,1.000,0.950,0.000,56.975,44.225,25.275,26.650,0.909,0.860,0.108,0.765,0.748,0.789,0.043,0.856,0.458,5.908
trial_432,comparison,successful,38,"110,111,113,114,115,116,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",1.000,1.000,1.000,0.000,56.921,44.263,25.342,27.105,0.909,0.859,0.108,0.763,0.747,0.788,0.044,0.861,0.458,5.923
trial_432,comparison,unsuccessful,2,"112,117",0.000,1.000,0.000,0.000,58.000,43.500,24.000,18.000,0.919,0.869,0.104,0.801,0.776,0.807,0.035,0.765,0.454,5.626
trial_432,outcome,gravity_without_vertical,2,"112,117",0.000,1.000,0.000,0.000,58.000,43.500,24.000,18.000,0.919,0.869,0.104,0.801,0.776,0.807,0.035,0.765,0.454,5.626
trial_432,outcome,success,38,"110,111,113,114,115,116,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",1.000,1.000,1.000,0.000,56.921,44.263,25.342,27.105,0.909,0.859,0.108,0.763,0.747,0.788,0.044,0.861,0.458,5.923
trial_164,all,all,40,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",0.900,0.925,0.900,0.000,44.243,49.216,27.744,21.850,0.883,0.843,0.091,0.787,0.798,0.771,0.034,0.827,0.409,4.532
trial_164,comparison,successful,36,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,130,131,132,133,134,136,137,138,139,140,141,142,143,144,145,146,149",1.000,1.000,1.000,0.000,43.500,48.472,24.444,21.694,0.908,0.883,0.091,0.792,0.798,0.809,0.036,0.858,0.412,4.628
trial_164,comparison,unsuccessful,4,"129,135,147,148",0.000,0.250,0.000,0.000,71.000,76.000,67.333,23.250,0.657,0.485,0.089,0.744,0.794,0.427,0.014,0.549,0.388,3.673
trial_164,outcome,flat,1,135,0.000,0.000,0.000,0.000,not_reached,not_reached,not_reached,17.000,0.449,0.346,0.095,0.775,0.704,0.228,0.046,0.424,0.393,3.547
trial_164,outcome,gravity_without_vertical,1,147,0.000,1.000,0.000,0.000,71.000,76.000,27.000,40.000,0.895,0.855,0.081,0.826,0.888,0.769,0.000,0.768,0.402,4.268
trial_164,outcome,partial_tilt,1,148,0.000,0.000,0.000,0.000,not_reached,not_reached,113.000,18.000,0.538,0.353,0.083,0.681,0.811,0.353,0.010,0.538,0.378,3.491
trial_164,outcome,partial_transposition,1,129,0.000,0.000,0.000,0.000,not_reached,not_reached,62.000,18.000,0.746,0.388,0.096,0.693,0.774,0.358,0.002,0.468,0.380,3.387
trial_164,outcome,success,36,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,130,131,132,133,134,136,137,138,139,140,141,142,143,144,145,146,149",1.000,1.000,1.000,0.000,43.500,48.472,24.444,21.694,0.908,0.883,0.091,0.792,0.798,0.809,0.036,0.858,0.412,4.628
trial_453,all,all,40,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",0.875,0.975,0.875,0.000,43.667,49.359,28.750,20.425,0.893,0.864,0.088,0.779,0.788,0.807,0.026,0.838,0.387,3.659
trial_453,comparison,successful,35,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,127,128,129,130,131,132,133,134,135,136,137,138,139,140,142,145,146,147,148,149",1.000,1.000,1.000,0.000,40.400,46.429,25.914,18.886,0.904,0.882,0.088,0.776,0.783,0.824,0.024,0.853,0.388,3.694
trial_453,comparison,unsuccessful,5,"125,126,141,143,144",0.000,0.800,0.000,0.000,72.250,75.000,48.600,31.200,0.809,0.740,0.089,0.803,0.824,0.694,0.039,0.735,0.378,3.412
trial_453,outcome,gravity_without_vertical,4,"125,141,143,144",0.000,1.000,0.000,0.000,72.250,75.000,30.750,35.250,0.882,0.822,0.090,0.813,0.832,0.765,0.047,0.789,0.377,3.499
trial_453,outcome,partial_tilt,1,126,0.000,0.000,0.000,0.000,not_reached,not_reached,120.000,15.000,0.517,0.411,0.085,0.763,0.789,0.411,0.010,0.517,0.380,3.063
trial_453,outcome,success,35,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,127,128,129,130,131,132,133,134,135,136,137,138,139,140,142,145,146,147,148,149",1.000,1.000,1.000,0.000,40.400,46.429,25.914,18.886,0.904,0.882,0.088,0.776,0.783,0.824,0.024,0.853,0.388,3.694
trial_424,all,all,40,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",0.875,1.000,0.900,0.000,50.425,48.275,24.500,23.650,0.904,0.862,0.108,0.739,0.743,0.788,0.028,0.846,0.448,5.745
