variant,condition,food_site_count,food_site_radius,seed,final_recruitment_advantage,tail_recruitment_advantage,final_directional_bias,final_receiver_attention,final_dance_propensity,final_success,final_payoff,final_floor_fraction,tail_floor_fraction,tail_dance_follow_share
tournament,c1_r37.5m,1,37.500000,435,0.000000,0.000000,0.441035,0.220483,0.826029,0.000000,0.001000,1.000000,1.000000,0.041667
tournament,c1_r37.5m,1,37.500000,436,0.000000,0.000000,0.157604,0.509835,0.514320,0.000000,0.001000,1.000000,1.000000,0.232143
tournament,c1_r37.5m,1,37.500000,437,0.000000,0.000000,0.333708,0.483707,0.501548,0.000028,0.001000,1.000000,1.000000,0.025000
tournament,c1_r37.5m,1,37.500000,438,0.000000,0.000000,0.440583,0.525023,0.806458,0.000028,0.001000,1.000000,1.000000,0.225000
tournament,c1_r37.5m,1,37.500000,440,0.000000,0.000000,0.405396,0.226337,0.788864,0.000028,0.001000,1.000000,1.000000,0.000000
tournament,c1_r37.5m,1,37.500000,439,0.200000,0.020000,0.590122,0.451183,0.787019,0.000056,0.001000,1.000000,1.000000,0.143929
tournament,c1_r37.5m,1,37.500000,442,0.250000,0.025000,0.231344,0.186834,0.716267,0.000083,0.001000,1.000000,1.000000,0.055789
tournament,c1_r37.5m,1,37.500000,443,0.000000,0.000000,0.695205,0.261273,0.802335,0.000056,0.001000,1.000000,1.000000,0.147222
tournament,c1_r75m,1,75.000000,402,0.000000,0.059091,0.250216,0.468553,0.769526,0.000028,0.001000,1.000000,1.000000,0.301905
tournament,c1_r75m,1,75.000000,403,0.000000,0.023750,0.506968,0.245316,0.745977,0.000000,0.001000,1.000000,1.000000,0.284476
tournament,c1_r75m,1,75.000000,401,0.000000,0.008901,0.130856,0.271756,0.689038,0.000083,0.001000,1.000000,1.000000,0.204517
tournament,c1_r37.5m,1,37.500000,444,0.333333,0.016667,0.862772,0.320063,0.731737,0.000056,0.001000,1.000000,1.000000,0.060606
tournament,c1_r75m,1,75.000000,404,0.000000,-0.033333,0.234131,0.430709,0.584990,0.000056,0.001000,1.000000,1.000000,0.216627
tournament,c1_r75m,1,75.000000,405,0.000000,-0.026618,0.424489,0.251114,0.664296,0.000028,0.001000,1.000000,1.000000,0.048529
tournament,c1_r75m,1,75.000000,406,0.000000,0.014286,0.287666,0.259734,0.628931,0.000139,0.001000,1.000000,1.000000,0.205816
tournament,c1_r75m,1,75.000000,400,0.000000,0.000000,0.278146,0.680707,0.544977,0.000083,0.001000,1.000000,1.000000,0.471726
tournament,c1_r75m,1,75.000000,415,0.000000,0.047619,0.269991,0.604480,0.552873,0.000028,0.001000,1.000000,1.000000,0.180357
tournament,c1_r75m,1,75.000000,416,0.000000,0.000000,0.465012,0.305584,0.416987,0.000056,0.001000,1.000000,1.000000,0.220789
tournament,c1_r75m,1,75.000000,417,0.000000,0.020238,0.514528,0.580354,0.463636,0.000083,0.001000,1.000000,1.000000,0.292735
tournament,c1_r75m,1,75.000000,410,0.000000,0.000000,0.605863,0.270785,0.463466,0.000000,0.001000,1.000000,1.000000,0.025000
tournament,c1_r75m,1,75.000000,419,0.000000,0.000000,0.133457,0.411594,0.386178,0.000028,0.001000,1.000000,1.000000,0.355751
tournament,c1_r75m,1,75.000000,420,0.000000,0.053968,0.496851,0.706993,0.558669,0.000056,0.001000,1.000000,1.000000,0.329030
tournament,c1_r75m,1,75.000000,421,0.000000,0.016667,0.719351,0.129069,0.833988,0.000111,0.001000,1.000000,1.000000,0.304207
tournament,c1_r75m,1,75.000000,408,0.000000,0.127237,0.780576,0.286429,0.656921,0.000000,0.001000,1.000000,1.000000,0.105036
tournament,c1_r75m,1,75.000000,407,0.000000,0.011111,0.470660,0.315313,0.474954,0.000000,0.001000,1.000000,1.000000,0.051667
tournament,c1_r75m,1,75.000000,409,0.000000,0.143519,0.743383,0.391358,0.733072,0.000028,0.001000,1.000000,1.000000,0.295983
tournament,c1_r75m,1,75.000000,411,0.000000,0.020159,0.594270,0.168619,0.539700,0.000083,0.001000,1.000000,1.000000,0.297724
tournament,c1_r75m,1,75.000000,423,0.000000,-0.014286,0.745280,0.266362,0.821263,0.000028,0.001000,1.000000,1.000000,0.291880
