number,state,value,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,stable_count,seed_count,collapse_count,mean_progress,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,elapsed_seconds
100,COMPLETE,5.974,10,0.260,11,1.000,0.580,5.000,0.015,0.100,1.000,5,10,0,0.974,0.606,9.315,0.790,0.747,1190.255
101,COMPLETE,6.966,10,0.260,15,1.000,0.600,4.500,0.015,0.120,1.000,6,10,0,0.966,0.592,9.311,0.808,0.628,1180.677
102,COMPLETE,6.966,10,0.260,15,1.000,0.600,4.500,0.015,0.120,1.000,6,10,0,0.966,0.592,9.311,0.808,0.628,1178.645
103,COMPLETE,9.996,10,0.250,15,1.000,0.440,9.000,0.015,0.110,1.000,9,10,0,0.996,0.505,6.804,0.828,0.770,1070.189
104,COMPLETE,8.945,10,0.250,15,1.000,0.440,9.000,0.015,0.090,1.000,8,10,0,0.945,0.503,6.797,0.839,0.690,1075.379
105,COMPLETE,6.965,10,0.250,15,1.000,0.440,9.000,0.015,0.120,1.000,6,10,0,0.965,0.488,6.467,0.792,0.676,1104.114
106,COMPLETE,5.983,10,0.260,15,1.000,0.440,9.000,0.015,0.120,1.000,5,10,0,0.983,0.506,6.779,0.802,0.718,1121.522
107,COMPLETE,6.965,10,0.250,15,1.000,0.440,9.000,0.015,0.120,1.000,6,10,0,0.965,0.488,6.467,0.792,0.676,1100.552
108,COMPLETE,5.983,10,0.260,15,1.000,0.440,9.000,0.015,0.120,1.000,5,10,0,0.983,0.506,6.779,0.802,0.718,1115.114
109,COMPLETE,8.986,10,0.270,15,1.000,0.440,9.000,0.010,0.110,1.000,8,10,0,0.986,0.522,7.472,0.810,0.712,1099.942
110,COMPLETE,0.939,10,0.250,15,1.000,0.440,9.000,0.010,0.120,1.000,0,10,0,0.939,0.489,6.853,0.773,0.671,1059.649
111,COMPLETE,0.939,10,0.250,15,1.000,0.440,9.000,0.010,0.120,1.000,0,10,0,0.939,0.489,6.853,0.773,0.671,1067.320
112,COMPLETE,8.997,10,0.250,11,1.000,0.480,9.000,0.015,0.120,1.000,8,10,0,0.997,0.493,6.748,0.808,0.723,1086.021
113,COMPLETE,4.967,9,0.250,11,1.000,0.440,9.000,0.010,0.110,1.000,4,10,0,0.967,0.469,6.560,0.795,0.754,1040.072
114,COMPLETE,5.986,9,0.240,11,1.000,0.480,9.000,0.010,0.110,0.800,5,10,0,0.986,0.451,6.432,0.806,0.712,1026.051
115,COMPLETE,7.969,9,0.240,9,1.000,0.480,9.000,0.010,0.110,0.800,7,10,0,0.969,0.454,6.493,0.808,0.691,998.747
116,COMPLETE,7.969,9,0.240,9,1.000,0.480,9.000,0.010,0.110,0.800,7,10,0,0.969,0.454,6.493,0.808,0.691,996.559
117,COMPLETE,7.969,9,0.240,9,1.000,0.480,9.000,0.010,0.110,0.800,7,10,0,0.969,0.454,6.493,0.808,0.691,1001.032
118,COMPLETE,7.969,9,0.240,9,1.000,0.480,9.000,0.010,0.110,0.800,7,10,0,0.969,0.454,6.493,0.808,0.691,1002.384
119,COMPLETE,7.969,9,0.240,9,1.000,0.480,9.000,0.010,0.110,0.800,7,10,0,0.969,0.454,6.493,0.808,0.691,997.023
120,COMPLETE,7.969,9,0.240,9,1.000,0.480,9.000,0.010,0.110,0.800,7,10,0,0.969,0.454,6.493,0.808,0.691,995.855
121,COMPLETE,6.987,9,0.230,14,1.000,0.480,9.000,0.010,0.110,0.800,6,10,0,0.987,0.437,6.229,0.813,0.717,1036.183
122,COMPLETE,8.998,9,0.240,14,1.000,0.480,9.000,0.010,0.110,0.800,8,10,0,0.998,0.454,6.525,0.827,0.727,1007.264
123,COMPLETE,7.988,9,0.240,14,1.000,0.480,8.500,0.010,0.110,0.800,7,10,0,0.988,0.466,6.681,0.803,0.715,1046.206
124,COMPLETE,7.988,9,0.240,14,1.000,0.480,8.500,0.010,0.110,0.800,7,10,0,0.988,0.466,6.681,0.803,0.715,1038.924
125,COMPLETE,7.988,9,0.240,14,1.000,0.480,8.500,0.010,0.110,0.800,7,10,0,0.988,0.466,6.681,0.803,0.715,1036.430
126,COMPLETE,7.988,9,0.240,14,1.000,0.480,8.500,0.010,0.110,0.800,7,10,0,0.988,0.466,6.681,0.803,0.715,1039.940
127,COMPLETE,7.988,9,0.240,14,1.000,0.480,8.500,0.010,0.110,0.800,7,10,0,0.988,0.466,6.681,0.803,0.715,1042.211
128,COMPLETE,4.967,9,0.240,9,1.000,0.540,8.500,0.010,0.110,0.800,4,10,0,0.967,0.471,6.974,0.789,0.704,1025.373
129,COMPLETE,8.982,9,0.240,9,1.000,0.480,8.500,0.010,0.110,0.800,8,10,0,0.982,0.472,6.846,0.822,0.760,1033.090
130,COMPLETE,8.992,9,0.230,9,1.000,0.480,8.500,0.020,0.110,0.800,8,10,0,0.992,0.457,5.700,0.828,0.708,1045.837
131,COMPLETE,8.992,9,0.230,14,1.000,0.500,8.500,0.020,0.090,0.800,8,10,0,0.992,0.482,6.161,0.835,0.789,1053.114
132,COMPLETE,10.000,9,0.230,14,1.000,0.540,8.500,0.020,0.090,0.900,9,10,0,1.000,0.472,6.188,0.846,0.747,1036.002
133,COMPLETE,11.000,10,0.230,14,1.000,0.540,8.500,0.020,0.090,0.900,10,10,0,1.000,0.497,6.687,0.850,0.768,1058.827
134,COMPLETE,11.000,10,0.230,16,1.000,0.540,8.500,0.020,0.090,0.900,10,10,0,1.000,0.497,6.687,0.850,0.768,1062.728
135,COMPLETE,11.000,10,0.230,14,1.000,0.540,8.500,0.020,0.090,0.900,10,10,0,1.000,0.497,6.687,0.850,0.768,1057.408
136,COMPLETE,9.999,10,0.290,14,1.000,0.540,8.500,0.020,0.090,0.900,9,10,0,0.999,0.581,8.224,0.843,0.724,1154.293
137,COMPLETE,11.000,10,0.230,14,1.000,0.540,8.500,0.020,0.090,0.900,10,10,0,1.000,0.497,6.687,0.850,0.768,1058.759
138,COMPLETE,7.991,10,0.220,14,1.000,0.540,8.500,0.015,0.090,0.900,7,10,0,0.991,0.477,6.718,0.828,0.748,1050.974
139,COMPLETE,7.957,10,0.220,16,1.000,0.540,8.500,0.020,0.090,0.900,7,10,0,0.957,0.480,6.313,0.830,0.692,993.781
