seed,comparison_group,outcome,generation,average_directional_bias,average_receiver_attention,average_sender_transposition,average_receiver_transposition,average_min_transposition,average_transposition_gap,average_comb_tilt,average_comb_orientation,comb_orientation_alignment,average_search_limit,average_success,average_payoff
97,unsuccessful,flat,0,0.065,0.114,0.000,0.000,0.000,0.000,0.000,1.445,0.248,2.495,0.173,1.233
97,unsuccessful,flat,1,0.093,0.105,0.026,0.026,0.026,0.000,0.034,1.636,0.164,2.918,0.211,1.587
97,unsuccessful,flat,2,0.088,0.110,0.045,0.042,0.042,0.003,0.047,2.179,0.214,3.124,0.229,1.747
97,unsuccessful,flat,3,0.086,0.127,0.053,0.063,0.053,0.011,0.062,2.385,0.182,3.711,0.289,2.328
97,unsuccessful,flat,4,0.088,0.163,0.056,0.077,0.056,0.020,0.068,2.582,0.293,4.071,0.319,2.604
97,unsuccessful,flat,5,0.097,0.190,0.076,0.096,0.076,0.020,0.063,2.531,0.171,4.294,0.338,2.781
97,unsuccessful,flat,6,0.116,0.224,0.067,0.080,0.067,0.013,0.068,2.689,0.205,4.637,0.378,3.199
97,unsuccessful,flat,7,0.126,0.193,0.068,0.098,0.068,0.030,0.069,2.770,0.263,4.704,0.380,3.211
97,unsuccessful,flat,8,0.141,0.188,0.078,0.090,0.078,0.013,0.070,3.069,0.149,4.878,0.385,3.240
97,unsuccessful,flat,9,0.178,0.195,0.110,0.120,0.110,0.010,0.074,1.033,0.145,5.371,0.419,3.546
97,unsuccessful,flat,10,0.174,0.222,0.109,0.121,0.109,0.012,0.089,1.075,0.445,5.514,0.427,3.630
97,unsuccessful,flat,11,0.167,0.239,0.138,0.122,0.122,0.016,0.114,1.187,0.355,5.768,0.445,3.843
97,unsuccessful,flat,12,0.148,0.259,0.166,0.133,0.133,0.033,0.100,1.200,0.344,5.846,0.450,3.889
97,unsuccessful,flat,13,0.135,0.219,0.182,0.158,0.158,0.023,0.102,1.148,0.265,6.287,0.457,3.874
97,unsuccessful,flat,14,0.160,0.249,0.196,0.147,0.147,0.049,0.071,1.153,0.197,6.433,0.467,3.918
97,unsuccessful,flat,15,0.197,0.325,0.217,0.190,0.190,0.028,0.101,0.838,0.134,6.660,0.488,4.182
97,unsuccessful,flat,16,0.195,0.377,0.189,0.193,0.189,0.005,0.111,2.883,0.028,6.689,0.500,4.361
97,unsuccessful,flat,17,0.242,0.431,0.182,0.183,0.182,0.001,0.126,1.963,0.196,6.611,0.507,4.484
97,unsuccessful,flat,18,0.283,0.466,0.170,0.178,0.170,0.007,0.130,2.174,0.163,6.701,0.517,4.603
97,unsuccessful,flat,19,0.258,0.435,0.170,0.161,0.161,0.009,0.142,1.827,0.099,6.554,0.503,4.462
97,unsuccessful,flat,20,0.280,0.494,0.179,0.162,0.162,0.016,0.130,1.410,0.042,6.667,0.527,4.727
97,unsuccessful,flat,21,0.315,0.553,0.236,0.186,0.186,0.050,0.135,1.111,0.150,6.659,0.532,4.809
97,unsuccessful,flat,22,0.349,0.577,0.240,0.200,0.200,0.040,0.148,0.507,0.074,6.443,0.538,4.935
97,unsuccessful,flat,23,0.408,0.570,0.256,0.212,0.212,0.044,0.157,0.809,0.146,6.262,0.523,4.808
