group_kind,group,generation,runs,mean_directional_bias,mean_receiver_attention,mean_sender_transposition,mean_receiver_transposition,mean_min_transposition,mean_transposition_gap,mean_comb_tilt,mean_success,mean_payoff
comparison,unsuccessful,111,20,0.797,0.842,0.234,0.247,0.223,0.034,0.274,0.588,5.809
comparison,unsuccessful,112,20,0.790,0.841,0.241,0.254,0.230,0.034,0.283,0.583,5.775
comparison,unsuccessful,113,20,0.791,0.840,0.232,0.242,0.220,0.033,0.273,0.586,5.779
comparison,unsuccessful,114,20,0.789,0.838,0.216,0.235,0.204,0.042,0.264,0.588,5.794
comparison,unsuccessful,115,20,0.785,0.840,0.215,0.243,0.207,0.043,0.274,0.590,5.830
comparison,unsuccessful,116,20,0.782,0.839,0.223,0.254,0.212,0.053,0.278,0.590,5.832
comparison,unsuccessful,117,20,0.775,0.839,0.222,0.250,0.215,0.041,0.265,0.593,5.845
comparison,unsuccessful,118,20,0.787,0.828,0.218,0.242,0.211,0.037,0.273,0.589,5.807
comparison,unsuccessful,119,20,0.783,0.828,0.209,0.240,0.204,0.041,0.273,0.593,5.842
comparison,unsuccessful,120,20,0.793,0.829,0.212,0.244,0.207,0.043,0.278,0.592,5.847
outcome,flat,0,18,0.074,0.122,0.000,0.000,0.000,0.000,0.000,0.159,1.104
outcome,flat,1,18,0.083,0.130,0.027,0.027,0.025,0.004,0.029,0.198,1.474
outcome,flat,2,18,0.091,0.137,0.043,0.044,0.040,0.007,0.046,0.236,1.830
outcome,flat,3,18,0.100,0.146,0.061,0.063,0.056,0.011,0.061,0.272,2.179
outcome,flat,4,18,0.109,0.153,0.075,0.078,0.071,0.011,0.074,0.306,2.515
outcome,flat,5,18,0.121,0.164,0.087,0.093,0.083,0.015,0.085,0.333,2.770
outcome,flat,6,18,0.132,0.185,0.095,0.101,0.091,0.015,0.098,0.357,3.019
outcome,flat,7,18,0.144,0.192,0.109,0.110,0.099,0.022,0.107,0.374,3.183
outcome,flat,8,18,0.152,0.196,0.120,0.117,0.107,0.023,0.123,0.392,3.368
outcome,flat,9,18,0.160,0.209,0.132,0.122,0.115,0.024,0.137,0.407,3.514
outcome,flat,10,18,0.173,0.225,0.145,0.131,0.127,0.023,0.143,0.421,3.644
outcome,flat,11,18,0.183,0.237,0.153,0.139,0.133,0.026,0.151,0.432,3.758
outcome,flat,12,18,0.196,0.251,0.153,0.135,0.129,0.030,0.151,0.440,3.845
outcome,flat,13,18,0.203,0.264,0.160,0.146,0.135,0.037,0.167,0.448,3.935
outcome,flat,14,18,0.221,0.283,0.173,0.159,0.146,0.040,0.178,0.458,4.046
outcome,flat,15,18,0.242,0.303,0.174,0.168,0.151,0.040,0.191,0.466,4.129
outcome,flat,16,18,0.256,0.309,0.178,0.176,0.161,0.033,0.205,0.470,4.192
outcome,flat,17,18,0.265,0.330,0.191,0.186,0.174,0.029,0.216,0.477,4.278
outcome,flat,18,18,0.286,0.362,0.196,0.182,0.168,0.042,0.232,0.485,4.393
outcome,flat,19,18,0.294,0.375,0.198,0.183,0.169,0.042,0.245,0.491,4.463
outcome,flat,20,18,0.316,0.393,0.198,0.188,0.170,0.046,0.254,0.497,4.545
outcome,flat,21,18,0.322,0.414,0.210,0.190,0.169,0.062,0.247,0.500,4.568
outcome,flat,22,18,0.344,0.438,0.211,0.194,0.171,0.063,0.250,0.505,4.635
outcome,flat,23,18,0.361,0.463,0.208,0.196,0.173,0.059,0.256,0.509,4.701
outcome,flat,24,18,0.370,0.478,0.220,0.212,0.186,0.061,0.264,0.514,4.766
outcome,flat,25,18,0.389,0.501,0.221,0.217,0.193,0.052,0.274,0.515,4.790
outcome,flat,26,18,0.410,0.525,0.230,0.214,0.191,0.064,0.289,0.516,4.829
outcome,flat,27,18,0.431,0.542,0.244,0.226,0.200,0.072,0.296,0.520,4.892
outcome,flat,28,18,0.440,0.560,0.254,0.221,0.202,0.071,0.304,0.526,4.977
outcome,flat,29,18,0.439,0.583,0.248,0.210,0.192,0.074,0.312,0.527,4.999
outcome,flat,30,18,0.448,0.589,0.250,0.214,0.190,0.084,0.308,0.529,5.027
outcome,flat,31,18,0.461,0.597,0.249,0.215,0.193,0.078,0.316,0.526,4.992
outcome,flat,32,18,0.470,0.611,0.239,0.210,0.189,0.072,0.329,0.531,5.082
outcome,flat,33,18,0.480,0.627,0.239,0.212,0.194,0.064,0.332,0.531,5.083
outcome,flat,34,18,0.488,0.642,0.233,0.208,0.189,0.063,0.343,0.535,5.137
outcome,flat,35,18,0.504,0.657,0.227,0.193,0.176,0.067,0.337,0.536,5.149
outcome,flat,36,18,0.516,0.665,0.226,0.197,0.181,0.062,0.338,0.540,5.206
