number,state,value,seed,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,comb_tilt_mutation_sd,transposition_mutation_correlation,stable,collapsed,progress,final_success,final_payoff,final_comb_tilt,final_sender_transposition,final_receiver_transposition,final_min_transposition
109,COMPLETE,6.000,100,7,0.360,8,1.100,0.420,5.500,0.035,0.090,0.080,0.800,true,false,1.000,0.630,8.782,0.840,0.772,0.792,0.772
109,COMPLETE,6.000,101,7,0.360,8,1.100,0.420,5.500,0.035,0.090,0.080,0.800,true,false,1.000,0.642,9.101,0.907,0.822,0.850,0.822
109,COMPLETE,6.000,102,7,0.360,8,1.100,0.420,5.500,0.035,0.090,0.080,0.800,true,false,1.000,0.623,8.584,0.801,0.829,0.772,0.772
109,COMPLETE,6.000,103,7,0.360,8,1.100,0.420,5.500,0.035,0.090,0.080,0.800,true,false,1.000,0.644,9.184,0.873,0.839,0.853,0.839
109,COMPLETE,6.000,104,7,0.360,8,1.100,0.420,5.500,0.035,0.090,0.080,0.800,true,false,1.000,0.661,9.234,0.830,0.800,0.817,0.800
110,COMPLETE,1.483,100,6,0.390,8,1.100,0.420,5.500,0.025,0.090,0.040,0.700,false,false,0.218,0.653,7.800,0.175,0.305,0.250,0.250
110,COMPLETE,1.483,101,6,0.390,8,1.100,0.420,5.500,0.025,0.090,0.040,0.700,false,false,0.365,0.635,7.877,0.292,0.237,0.217,0.217
110,COMPLETE,1.483,102,6,0.390,8,1.100,0.420,5.500,0.025,0.090,0.040,0.700,true,false,1.000,0.626,9.556,0.908,0.806,0.801,0.801
110,COMPLETE,1.483,103,6,0.390,8,1.100,0.420,5.500,0.025,0.090,0.040,0.700,false,false,0.466,0.621,7.928,0.373,0.341,0.335,0.335
110,COMPLETE,1.483,104,6,0.390,8,1.100,0.420,5.500,0.025,0.090,0.040,0.700,false,false,0.364,0.623,7.691,0.291,0.270,0.221,0.221
111,COMPLETE,1.551,100,6,0.330,8,1.200,0.430,5.000,0.025,0.090,0.040,0.700,false,false,0.444,0.539,7.668,0.506,0.260,0.222,0.222
111,COMPLETE,1.551,101,6,0.330,8,1.200,0.430,5.000,0.025,0.090,0.040,0.700,true,false,1.000,0.560,9.308,0.902,0.768,0.691,0.691
111,COMPLETE,1.551,102,6,0.330,8,1.200,0.430,5.000,0.025,0.090,0.040,0.700,false,false,0.394,0.491,6.959,0.473,0.197,0.276,0.197
111,COMPLETE,1.551,103,6,0.330,8,1.200,0.430,5.000,0.025,0.090,0.040,0.700,false,false,0.494,0.522,7.288,0.476,0.247,0.257,0.247
111,COMPLETE,1.551,104,6,0.330,8,1.200,0.430,5.000,0.025,0.090,0.040,0.700,false,false,0.422,0.580,7.967,0.337,0.312,0.310,0.310
112,COMPLETE,1.590,100,6,0.330,8,1.200,0.250,5.500,0.025,0.090,0.070,0.700,false,false,0.570,0.534,6.964,0.456,0.293,0.308,0.293
