condition,sweep,food_site_count,food_site_radius,food_site_capacity,food_value,seed,generation,directional_bias,receiver_attention,search_limit,comb_tilt,success_rate,payoff,follower_success_rate,matched_searcher_success_rate,recruitment_advantage,dance_follow_share
hard,anchor,1,37.500000,6,1.000000,400,49,0.360263,0.260703,1376.024595,0.000000,0.001556,0.001000,0.000000,0.004016,-0.004016,0.216981
hard,anchor,1,37.500000,6,1.000000,400,50,0.379053,0.273484,1629.369448,0.000000,0.001833,0.001000,0.062500,0.014815,0.047685,0.228571
hard,anchor,1,37.500000,6,1.000000,400,51,0.315035,0.258708,1802.433461,0.000000,0.002083,0.001000,0.089888,0.000000,0.089888,0.253561
hard,anchor,1,37.500000,6,1.000000,400,52,0.303866,0.253411,1977.069200,0.000000,0.001722,0.001000,0.056180,0.010929,0.045251,0.327206
hard,anchor,1,37.500000,6,1.000000,400,53,0.313247,0.286041,2234.971078,0.000000,0.002556,0.001000,0.041322,0.014970,0.026352,0.265934
hard,anchor,1,37.500000,6,1.000000,400,54,0.356769,0.281845,2613.813829,0.000000,0.002583,0.001000,0.045752,0.000000,0.045752,0.307229
hard,anchor,1,37.500000,6,1.000000,400,55,0.356966,0.286821,2536.797276,0.000000,0.003111,0.001000,0.076923,0.013441,0.063482,0.328520
hard,anchor,1,37.500000,6,1.000000,400,56,0.345994,0.276918,2811.280075,0.000000,0.002639,0.001000,0.048276,0.008547,0.039729,0.292339
hard,anchor,1,37.500000,6,1.000000,400,57,0.353407,0.288165,2798.005909,0.000000,0.003028,0.001000,0.035928,0.022727,0.013201,0.296625
hard,anchor,1,37.500000,6,1.000000,400,58,0.286163,0.267531,2636.610332,0.000000,0.002361,0.001000,0.038760,0.009804,0.028956,0.296552
hard,anchor,1,37.500000,6,1.000000,400,59,0.286721,0.240658,2559.756575,0.000000,0.002778,0.001000,0.029197,0.009174,0.020023,0.295259
hard,anchor,1,37.500000,6,1.000000,400,60,0.286602,0.258535,2490.996830,0.000000,0.002417,0.001000,0.024540,0.016611,0.007929,0.351293
hard,anchor,1,37.500000,6,1.000000,411,0,0.075997,0.125265,1951.867287,0.000000,0.002000,0.001000,0.020833,0.005988,0.014845,0.125654
hard,anchor,1,37.500000,6,1.000000,411,1,0.080203,0.102226,1974.250707,0.000000,0.002167,0.001000,0.023256,0.002525,0.020731,0.097950
