candidate,seed,stable,collapsed,score,progress,final_success,final_payoff,final_comb_tilt,final_sender_transposition,final_receiver_transposition,final_min_transposition,final_dance_propensity
baseline,290,True,False,2.0,1.0,0.32866666666666666,4.87658987344371,0.8865743964744968,0.7719235980468929,0.7963869920977443,0.7719235980468929,0.4433145990562618
baseline,291,True,False,2.0,1.0,0.3288055555555555,4.8295172381839,0.8557905345926238,0.7466958948202369,0.7646262926493869,0.7466958948202369,0.309417828741576
baseline,292,True,False,2.0,1.0,0.31825,4.656848616310454,0.8634118116405456,0.8408821056569806,0.7531162223299404,0.7531162223299404,0.4410769488474435
baseline,293,True,False,2.0,1.0,0.31872222222222224,4.719093237716299,0.8903886984048657,0.7486136340867555,0.7279609015531047,0.7279609015531047,0.47683147786042984
baseline,294,False,False,0.568064969876271,0.568064969876271,0.28925,3.487951364716848,0.4544519759010168,0.3590202592166908,0.45602087411608144,0.3590202592166908,0.3907140509377795
baseline,295,False,False,0.9167925428929204,0.9167925428929204,0.3303611111111111,4.626169752697577,0.7334340343143364,0.8233584564186178,0.7558459830052836,0.7558459830052836,0.4866844539480155
baseline,296,True,False,2.0,1.0,0.32502777777777775,4.657496643733915,0.8002622410728395,0.8225614009173807,0.7220074900210107,0.7220074900210107,0.38307593256154693
baseline,297,True,False,2.0,1.0,0.31672222222222224,4.606354653702669,0.8333513650509631,0.8463442476108097,0.8094758530956222,0.8094758530956222,0.6909430797497492
baseline,298,True,False,2.0,1.0,0.31958333333333333,4.636826104071948,0.8220872849723282,0.8592488949701037,0.7791491299590525,0.7791491299590525,0.6039225862687387
baseline,299,True,False,2.0,1.0,0.32788888888888884,4.845767457278833,0.8599310985641666,0.7591743566108992,0.8337243784070584,0.7591743566108992,0.36007661684750525
food_site_count=5,200,True,False,2.0,1.0,0.24947222222222223,3.427916550143776,0.8739351340414916,0.8314301746121273,0.8347360487679575,0.8314301746121273,0.5923455689885508
food_site_count=5,201,True,False,2.0,1.0,0.23016666666666669,3.066504901651611,0.8350692196467165,0.8260565688914832,0.865428679428057,0.8260565688914832,0.35867090978003957
food_site_count=5,202,False,False,0.3308395592987042,0.3308395592987042,0.23566666666666666,2.4430494318586344,0.2646716474389634,0.29949327781167717,0.20864065154278452,0.20864065154278452,0.5103706270999154
food_site_count=5,203,True,False,2.0,1.0,0.22747222222222221,3.0299251695711864,0.8489947710291534,0.7503874028922454,0.8152569873461687,0.7503874028922454,0.43322652000342743
food_site_count=5,204,True,False,2.0,1.0,0.2528611111111111,3.46108461389598,0.8597014726728379,0.8667507189563339,0.8771387250188594,0.8667507189563339,0.7411568126896254
food_site_count=5,205,True,False,2.0,1.0,0.2172777777777778,2.8076402642727127,0.8072736539271841,0.7991275529399224,0.7173093460079921,0.7173093460079921,0.34673847876347363
food_site_count=5,206,False,False,0.2913087740932353,0.2913087740932353,0.24375,2.476068907246968,0.23304701927458824,0.22263659217544554,0.2695300374089165,0.22263659217544554,0.6468038234467921
food_site_count=5,207,True,False,2.0,1.0,0.24605555555555556,3.4028430009047312,0.9119706344880346,0.8592756092980909,0.751331320743826,0.751331320743826,0.6821159368572917
food_site_count=5,208,True,False,2.0,1.0,0.22624999999999998,3.0683473278155398,0.8760287089514905,0.7972867727106794,0.65775749732687,0.65775749732687,0.6982365390759789
food_site_count=5,209,True,False,2.0,1.0,0.22672222222222221,3.0478142960559484,0.8589139295129476,0.7996579860116291,0.653596457383889,0.653596457383889,0.7165947581200142
food_site_count=5,210,True,False,2.0,1.0,0.2447777777777778,3.3404446796074647,0.8616079514121162,0.861080906118787,0.8652448709911449,0.861080906118787,0.30233264755630906
food_site_count=5,211,True,False,2.0,1.0,0.25013888888888886,3.401508469532639,0.8456602713208861,0.8684580987856777,0.8801109019578219,0.8684580987856777,0.7200325277294864
food_site_count=5,212,True,False,2.0,1.0,0.24280555555555555,3.3015521165604316,0.8763238243010442,0.8222780531163245,0.8141839858024048,0.8141839858024048,0.5019041757083685
food_site_count=5,213,True,False,2.0,1.0,0.22002777777777777,2.908834863968855,0.8380460306176499,0.8767514465305238,0.7255172805134465,0.7255172805134465,0.48122873263781063
food_site_count=5,214,True,False,2.0,1.0,0.24063888888888887,3.251195102711185,0.8527055997308389,0.8536750743294862,0.7289525119545536,0.7289525119545536,0.7091442971439256
food_site_count=5,215,False,False,0.9809649113642754,0.9809649113642754,0.2353888888888889,3.097593291091655,0.7847719290914204,0.8409895552164143,0.8448877065688506,0.8409895552164143,0.5173716635677956
food_site_count=5,216,True,False,2.0,1.0,0.2533333333333333,3.435085096115221,0.8360197752796901,0.8809601157966208,0.8204742937403593,0.8204742937403593,0.6222404632745981
food_site_count=5,217,False,False,0.21602840218825478,0.21602840218825478,0.25502777777777774,2.5789744676648123,0.17282272175060384,0.21431321382164334,0.2189928467393753,0.21431321382164334,0.6731191593763324
food_site_count=5,218,True,False,2.0,1.0,0.23558333333333334,3.198212359468783,0.8646631013974938,0.8486764437365452,0.820674271579952,0.820674271579952,0.7577988773984021
food_site_count=5,219,False,False,0.2663441591198069,0.2663441591198069,0.22805555555555557,2.282723870083148,0.21307532729584555,0.3319644670571649,0.19204788202993198,0.19204788202993198,0.8253864230787821
food_site_count=5,220,False,False,0.6952204966043407,0.6952204966043407,0.21594444444444444,2.4646199975927963,0.5561763972834726,0.4433050211017825,0.36361747922691234,0.36361747922691234,0.3951248135507972
food_site_count=5,221,True,False,2.0,1.0,0.22772222222222224,3.080869480537887,0.8785005045708146,0.8423000476931735,0.8322114012202495,0.8322114012202495,0.6819871981253817
food_site_count=5,222,True,False,2.0,1.0,0.2549166666666667,3.5356514546728275,0.8897327609776828,0.870505110034308,0.8619186574731394,0.8619186574731394,0.6341341380091368
food_site_count=5,223,True,False,2.0,1.0,0.22894444444444445,3.0739016094178897,0.8670347269650597,0.7988273277270181,0.8486810524869853,0.7988273277270181,0.20003309547274076
food_site_count=5,224,False,False,0.9960581784162406,0.9960581784162406,0.24705555555555556,3.305776651350229,0.7968465427329925,0.9020971676915217,0.8822546432563728,0.8822546432563728,0.6959942508023018
