number,state,value,food_site_count,food_site_radius,food_site_radius_log_sd,food_site_capacity,food_value,vertical_comb_benefit,food_site_min_distance,food_site_max_distance,foray_shape,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,stable_count,seed_count,collapse_count,mean_progress,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,mean_final_dance_propensity,elapsed_seconds
652,COMPLETE,-6.634,3,270.000,0.6,5,,0.600,750.0,6500.000,2.0,5.000000e-05,0.110,1.000,2,10,9,0.366,0.082,0.116,0.328,0.351,0.628,453.179
653,COMPLETE,11.000,7,270.000,0.6,5,,0.540,750.0,3000.000,2.0,1.500000e-05,0.120,1.000,10,10,0,1.000,0.362,5.720,0.829,0.791,0.534,1152.074
654,COMPLETE,11.000,3,270.000,0.6,5,,0.540,750.0,3000.000,2.0,1.500000e-05,0.120,1.000,10,10,0,1.000,0.197,2.888,0.843,0.795,0.643,720.867
655,COMPLETE,4.979,8,270.000,0.6,5,,0.540,750.0,3000.000,2.0,1.500000e-05,0.120,1.000,4,10,0,0.979,0.385,6.053,0.800,0.743,0.546,1191.423
656,COMPLETE,6.985,3,270.000,0.6,7,,0.540,750.0,3000.000,2.0,1.500000e-05,0.120,1.000,6,10,0,0.985,0.190,2.734,0.803,0.786,0.552,726.131
657,COMPLETE,11.000,3,270.000,0.6,7,,0.500,750.0,3000.000,2.0,1.500000e-05,0.120,1.000,10,10,0,1.000,0.195,2.793,0.850,0.806,0.595,734.122
658,COMPLETE,1.323,3,315.000,0.6,7,,0.540,750.0,6500.000,2.0,5.000000e-05,0.120,1.000,1,10,0,0.323,0.101,0.221,0.266,0.300,0.655,538.240
659,COMPLETE,-7.716,3,270.000,0.6,7,,0.240,750.0,6500.000,2.0,5.000000e-05,0.130,1.000,1,10,9,0.284,0.081,0.099,0.230,0.293,0.542,458.647
660,COMPLETE,5.758,3,315.000,0.6,7,,0.240,750.0,6500.000,2.0,1.500000e-05,0.130,1.000,5,10,0,0.758,0.153,1.307,0.630,0.658,0.583,652.189
661,COMPLETE,0.220,3,315.000,0.6,5,,0.240,750.0,6500.000,2.0,1.500000e-05,0.070,1.000,0,10,0,0.220,0.171,1.383,0.178,0.215,0.629,677.809
662,COMPLETE,1.370,3,315.000,0.6,5,,0.240,750.0,6500.000,2.0,1.000000e-05,0.080,1.000,1,10,0,0.370,0.169,1.608,0.299,0.352,0.569,676.719
